cnt,drop rate,delay,overhead
1,46.6%,166.1,3.2163
2,34.9%,144.2,3.320464
3,38.2%,158.6,2.896488
4,40.4%,146.0,3.315124
5,38.4%,148.5,3.198124
6,32.3%,133.1,2.771908
7,39.1%,148.1,3.141764
8,33.6%,135.0,3.198824
9,46.3%,149.9,3.327912
10,42.7%,160.1,3.260092
11,45.0%,162.3,3.2297
12,39.6%,147.4,3.1599
13,44.9%,149.7,3.16808
14,39.6%,152.4,3.317608
15,39.5%,149.5,3.133584
16,44.6%,167.3,3.161388
17,45.8%,153.3,3.293556
18,38.7%,156.5,3.216364
19,36.5%,139.1,3.104188
20,39.5%,156.1,3.232092
21,35.6%,142.1,3.245556
22,48.5%,144.4,2.823484
23,44.7%,166.5,3.30626
24,40.5%,152.9,3.151576
25,47.7%,147.7,3.0961
26,44.6%,163.4,3.150004
27,41.5%,155.8,3.264956
28,38.1%,163.7,3.836888
29,45.2%,153.8,3.252352
30,44.1%,166.3,3.907348
31,43.2%,151.9,3.150536
32,42.4%,148.1,3.147268
33,48.2%,142.7,3.241336
34,40.3%,140.2,2.721704
35,39.2%,148.3,3.048584
36,40.8%,146.2,2.824152
37,35.4%,145.7,3.549208
38,39.8%,139.0,3.169524
39,37.0%,152.5,3.172596
40,43.6%,150.6,3.200744
41,38.6%,159.6,3.178528
42,45.2%,173.3,3.851288
43,43.5%,163.6,3.955168
44,44.3%,160.9,3.706936
45,38.5%,149.4,3.57666
46,44.2%,164.3,3.932312
47,42.4%,162.6,3.222696
48,39.8%,157.3,3.271316
49,37.5%,149.9,3.224488
50,43.7%,155.6,2.89802
avg,41.29%,152.83,3.25
