cnt,drop rate,delay,overhead
1,41.9%,162.8,3.112432
2,42.2%,169.8,3.098304
3,40.3%,149.5,3.04276
4,47.2%,148.7,3.365948
5,46.8%,150.6,4.24686
6,41.4%,154.5,3.141004
7,48.1%,162.4,3.453856
8,46.0%,166.1,4.113896
9,48.4%,152.0,3.478876
10,41.4%,151.5,3.450696
11,48.2%,162.2,3.434036
12,37.9%,153.1,3.086136
13,39.4%,158.2,3.529736
14,44.4%,161.7,3.53678
15,44.9%,162.9,3.07898
16,43.9%,161.0,3.222308
17,42.5%,155.9,3.561996
18,40.8%,149.5,3.199344
19,47.2%,154.5,3.437324
20,43.4%,152.0,3.44438
21,42.9%,153.5,3.461468
22,44.8%,160.6,3.017152
23,47.1%,159.5,3.228772
24,43.5%,162.1,3.474412
25,43.0%,167.3,3.348568
26,60.7%,155.4,2.763728
27,44.0%,150.7,3.47674
28,45.1%,158.7,3.500968
29,45.9%,159.3,3.327276
30,46.4%,159.3,2.985508
31,40.9%,152.1,3.052204
32,43.6%,164.8,3.536804
33,40.7%,163.6,3.395256
34,41.9%,156.1,4.190828
35,45.1%,158.2,3.388072
36,45.7%,165.9,3.318952
37,47.4%,170.5,3.490508
38,46.3%,165.7,4.15158
39,42.8%,152.3,3.519276
40,41.0%,149.2,3.300724
41,44.9%,171.0,3.464024
42,48.6%,157.3,3.078868
43,45.3%,168.1,3.537632
44,50.9%,161.1,3.288496
45,47.3%,164.3,3.096736
