1,8.3%,80.3
2,8.6%,85.1
3,15.2%,86.8
4,5.4%,71.6
5,5.2%,72.7
6,9.8%,91.8
7,4.8%,71.4
8,9.1%,87.3
9,8.4%,108.2
10,9.7%,69.4
11,9.9%,84.3
12,18.0%,114.8
13,17.3%,94.6
14,14.5%,88.3
15,8.2%,87.3
16,14.2%,103.0
17,16.6%,107.9
18,12.2%,99.9
19,7.3%,82.5
20,11.4%,92.6
21,12.9%,82.9
22,12.8%,88.8
23,5.0%,70.0
24,15.9%,102.4
25,9.4%,68.3
26,5.5%,68.4
27,4.9%,69.2
28,13.4%,90.5
29,7.7%,80.3
30,12.5%,70.7
31,11.4%,75.4
32,18.0%,122.4
33,15.4%,75.2
34,5.6%,72.3
35,9.7%,80.8
36,5.2%,74.7
37,4.4%,67.2
38,11.6%,71.9
39,15.7%,78.0
40,11.4%,85.9
41,6.5%,71.9
42,12.8%,89.9
43,11.7%,87.6
44,5.6%,69.1
45,15.8%,122.4
46,11.6%,77.4
47,23.8%,103.9
48,10.2%,74.8
49,14.2%,101.4
50,17.6%,110.1
avg,11.05%,85.67
