cnt,drop rate,delay,overhead
1,47.8%,119.4,3.183336
2,29.1%,129.0,3.102044
3,52.4%,103.0,3.109196
4,34.1%,103.9,3.311568
5,48.0%,113.7,3.667476
6,32.5%,103.5,3.5037
7,47.8%,87.2,3.209068
8,48.2%,136.2,3.088984
9,33.8%,88.7,3.362396
10,42.7%,158.8,3.391668
11,30.1%,141.6,3.661508
12,25.3%,116.0,3.556216
13,44.6%,136.7,3.636648
14,42.8%,103.1,3.440576
15,51.6%,92.8,3.612672
16,39.4%,152.2,3.703416
17,50.3%,180.8,3.96882
18,57.6%,122.1,3.441804
19,46.1%,89.5,3.496744
20,58.8%,126.8,3.5965
21,43.2%,133.6,3.47396
22,42.8%,99.2,3.556368
23,39.2%,147.0,3.442792
24,25.8%,92.2,3.74964
25,28.3%,148.3,3.510488
26,46.9%,180.1,3.266912
27,27.2%,103.6,3.428516
28,37.8%,102.4,3.742444
29,27.5%,132.9,3.761952
30,43.3%,85.3,3.174728
31,23.7%,101.9,3.391892
32,40.7%,96.1,3.204864
33,28.5%,128.9,3.435764
34,37.2%,141.2,3.07662
35,20.4%,122.2,3.69402
36,52.8%,146.0,3.613284
37,10.4%,95.7,3.255088
38,26.8%,116.0,3.225476
39,25.6%,161.5,3.359956
40,49.5%,153.9,3.510876
41,46.4%,135.6,3.633772
42,70.5%,186.5,3.331072
43,45.1%,131.4,3.270944
44,43.2%,150.0,3.179488
45,37.3%,131.8,3.291908
46,41.8%,127.9,3.471372
47,51.4%,143.5,3.074444
48,28.3%,107.3,3.3148
49,38.1%,141.0,3.478312
50,49.3%,147.3,3.358276
avg,39.84%,125.91,3.43
