cnt,drop rate,delay,overhead
1,11.7%,81.4,3.601292
2,16.5%,84.4,3.622528
3,5.4%,77.1,3.985608
4,6.2%,68.0,3.52246
5,12.9%,81.8,3.552276
6,7.7%,70.5,3.710856
7,10.0%,78.2,3.525056
8,12.7%,81.0,3.971872
9,4.7%,67.2,3.66716
10,13.7%,74.8,4.070276
11,5.3%,80.8,3.884564
12,6.9%,86.4,4.113852
13,10.0%,69.5,3.572416
14,4.9%,68.7,3.43544
15,22.5%,70.0,3.55736
16,12.0%,76.0,3.658632
17,4.9%,76.3,3.741984
18,10.3%,71.5,3.617412
19,5.3%,77.8,3.858268
20,17.8%,74.2,3.571976
21,11.9%,87.0,3.94564
22,5.9%,91.9,3.495484
23,6.2%,91.8,3.590432
24,24.4%,97.6,3.734632
25,17.2%,81.2,3.568148
26,13.1%,82.1,4.028236
27,4.6%,71.9,3.89624
28,16.5%,90.5,4.047868
29,19.4%,80.9,3.968804
30,16.1%,74.2,3.61798
31,5.3%,72.5,3.830948
32,12.6%,92.2,4.074748
33,5.8%,72.1,3.738124
34,22.8%,65.1,3.702976
35,11.9%,98.3,4.067968
36,11.5%,72.3,3.703812
37,4.7%,67.8,3.456492
38,25.1%,78.9,3.769548
39,6.4%,90.2,3.531124
40,18.1%,81.4,3.717488
41,13.5%,70.2,3.857584
42,5.8%,74.5,3.6141
43,17.1%,75.8,3.526656
44,19.2%,71.0,3.48954
45,10.9%,73.9,3.56372
46,9.3%,70.3,3.5521
47,19.7%,90.0,3.57932
48,6.2%,84.6,3.748028
49,17.3%,76.1,3.463568
50,13.1%,78.0,3.691416
avg,11.86%,78.40,3.72
