cnt,drop rate,delay
1,4.3%,61.6
2,15.0%,63.7
3,14.2%,66.1
4,14.0%,63.8
5,13.5%,61.4
6,27.8%,65.2
7,11.6%,65.1
8,24.4%,63.3
9,22.8%,64.7
10,8.5%,63.1
11,16.5%,63.7
12,16.1%,62.2
13,40.3%,64.9
14,10.2%,61.1
15,22.0%,62.7
16,12.5%,62.1
17,11.5%,61.6
18,15.2%,62.5
19,10.1%,63.4
20,16.2%,61.8
21,28.6%,64.5
22,26.0%,67.4
23,32.6%,64.7
24,29.2%,63.9
25,17.5%,61.8
26,15.4%,62.0
27,16.3%,65.2
28,11.0%,62.5
29,17.5%,62.7
30,9.7%,64.3
31,31.4%,62.3
32,17.1%,62.4
33,9.3%,61.0
34,10.3%,63.3
35,11.0%,63.6
36,24.8%,66.7
37,18.9%,64.8
38,11.1%,64.2
39,12.2%,62.8
40,8.4%,62.0
41,25.5%,63.8
42,12.0%,64.0
43,10.6%,62.8
44,20.3%,62.8
45,22.6%,63.8
46,12.3%,64.7
47,8.5%,60.5
48,23.9%,64.9
49,26.2%,63.2
50,26.9%,62.9
avg,17.48%,63.39
1,11.0%,69.5
2,6.3%,68.8
3,9.1%,64.3
4,4.3%,65.0
5,7.7%,66.2
6,9.9%,72.1
7,18.2%,87.9
8,27.2%,69.6
9,16.6%,74.4
10,21.0%,73.8
11,25.4%,86.6
12,42.1%,115.4
13,41.8%,105.8
14,22.5%,74.4
15,9.0%,64.3
16,14.8%,69.2
17,19.8%,64.7
18,4.8%,68.2
19,11.1%,64.0
20,14.0%,62.4
21,17.2%,62.9
22,4.8%,63.2
23,9.2%,66.4
24,13.8%,63.1
25,14.0%,64.2
26,10.5%,63.6
27,5.2%,63.9
28,15.2%,67.9
29,8.1%,67.2
30,8.3%,73.1
31,6.4%,64.0
32,9.5%,66.3
33,12.1%,63.7
34,6.7%,65.7
35,14.1%,63.1
36,11.6%,67.4
37,4.0%,63.2
38,4.6%,69.1
39,14.2%,66.1
40,9.4%,63.8
41,15.7%,72.0
42,5.5%,69.8
43,14.5%,69.6
44,9.4%,67.9
45,10.4%,70.1
46,8.8%,78.6
47,4.3%,63.2
48,14.9%,67.0
49,15.3%,66.0
50,4.4%,66.7
avg,12.77%,69.71
