cnt,drop rate,delay
1,20.90%,68.5
1,14.60%,68.7
2,9.40%,61.9
3,28.60%,70.4
1,16.40%,64
2,15.20%,66.8
3,26.70%,65.5
1,12.60%,62.6
2,18.00%,67.1
3,14.50%,67.6
4,11.50%,65.8
5,8.90%,65.4
1,3.70%,64.6
2,10.10%,66
1,9.30%,62
1,7.50%,71.3
2,12.60%,65.7
3,23.20%,69.2
4,9.20%,62.4
5,13.70%,64.5
6,8.40%,60.8
7,8.60%,60.5
8,11.40%,65.6
9,16.80%,66.7
10,10.60%,64
11,18.10%,65
12,19.10%,67.5
13,12.90%,62.5
14,5.00%,65.1
15,8.40%,62.4
16,7.90%,65.3
17,16.30%,63
18,7.90%,63.6
19,8.20%,64.8
20,25.10%,66.5
1,16.10%,67.5
1,14.20%,68.4
2,9.00%,65
3,15.80%,65.9
4,22.70%,62.9
5,12.00%,62.5
6,11.70%,65.1
7,11.20%,63.4
8,21.00%,63.5
9,16.00%,63.8
10,19.50%,65
1,5.90%,65.4
2,3.50%,61.1
3,13.20%,60.6
1,20.90%,63
2,22.40%,62.5
3,12.60%,64
4,9.60%,63.4
5,15.20%,65.7
6,11.60%,63.6
7,22.10%,69.8
8,13.70%,67
avg,13.88%,64.95
